National Center for Education Statistics,,,,,,,,,,,,,,,,,,,
Price Trend,,,,,,,,,,,,,,,,,,,
,,,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
144175,City Colleges of Chicago-Olive-Harvey College,Off-campus in-state(total),20204,19114,19140,19140,23074,22095,21001,20647,21699,22717,19224,16861,15819,14922,16726,14925,14797
144175,City Colleges of Chicago-Olive-Harvey College,Off-campus with family in-district(total),6524,6526,6816,6816,8320,7840,6910,6910,6850,6112,6638,6538,9002,8628,8382,7986,7922
144175,City Colleges of Chicago-Olive-Harvey College,Off-campus with family in-state(total),12236,11146,11436,11436,11710,10731,9801,9447,10499,11517,12248,10077,12267,11498,13398,11661,11597
144175,City Colleges of Chicago-Olive-Harvey College,Off-campus with family out-of-state(total),14564,14926,15216,15216,13141,12268,11338,11151,12031,12999,13685,13671,15590,14604,15971,14055,13991
144184,City Colleges of Chicago-Harry S Truman College,On-campus in-district(total),5404,5406,5406,5406,5380,5380,4926,4926,4866,4128,3758,3626,3242,3060,2910,2610,2610
144184,City Colleges of Chicago-Harry S Truman College,On-campus in-state(total),11116,10026,10026,10026,8770,8271,7817,7463,8515,9533,9368,7165,6507,5930,7926,6285,6285
144184,City Colleges of Chicago-Harry S Truman College,Off-campus in-district(total),14492,14494,14520,14520,19684,19204,18110,18110,18050,17312,13614,13322,12554,12052,11710,11250,11122
144184,City Colleges of Chicago-Harry S Truman College,Off-campus in-state(total),20204,19114,19140,19140,23074,22095,21001,20647,21699,22717,19224,16861,15819,14922,16726,14925,14797
144184,City Colleges of Chicago-Harry S Truman College,Off-campus with family in-district(total),6524,6526,6816,6816,8320,7840,6910,6910,6850,6112,6638,6538,9002,8628,8382,7986,7922
144184,City Colleges of Chicago-Harry S Truman College,Off-campus with family in-state(total),12236,11146,11436,11436,11710,10731,9801,9447,10499,11517,12248,10077,12267,11498,13398,11661,11597
144184,City Colleges of Chicago-Harry S Truman College,Off-campus with family out-of-state(total),14564,14926,15216,15216,13141,12268,11338,11151,12031,12999,13685,13671,15590,14604,15971,14055,13991
144193,City Colleges of Chicago-Richard J Daley College,On-campus in-district(total),5404,5406,5406,5406,5380,5380,4926,4926,4866,4128,3758,3626,3242,3060,2910,2610,2610
144193,City Colleges of Chicago-Richard J Daley College,On-campus in-state(total),11116,10026,10026,10026,8770,8271,7817,7463,8515,9533,9368,7165,6507,5930,7926,6285,6285
144193,City Colleges of Chicago-Richard J Daley College,Off-campus in-district(total),14492,14494,14520,14520,19684,19204,18110,18110,18050,17312,13614,13322,12554,12052,11710,11250,11122
144193,City Colleges of Chicago-Richard J Daley College,Off-campus in-state(total),20204,19114,19140,19140,23074,22095,21001,20647,21699,22717,19224,16861,15819,14922,16726,14925,14797
144193,City Colleges of Chicago-Richard J Daley College,Off-campus with family in-district(total),6524,6526,6816,6816,8320,7840,6910,6910,6850,6112,6638,6538,9002,8628,8382,7986,7922
144193,City Colleges of Chicago-Richard J Daley College,Off-campus with family in-state(total),12236,11146,11436,11436,11710,10731,9801,9447,10499,11517,12248,10077,12267,11498,13398,11661,11597
144193,City Colleges of Chicago-Richard J Daley College,Off-campus with family out-of-state(total),14564,14926,15216,15216,13141,12268,11338,11151,12031,12999,13685,13671,15590,14604,15971,14055,13991
144209,City Colleges of Chicago-Harold Washington College,On-campus in-district(total),5404,5406,5406,5406,5380,5380,4926,4926,4866,4128,3758,3626,3242,3060,2910,2610,2610
144209,City Colleges of Chicago-Harold Washington College,On-campus in-state(total),11116,10026,10026,10026,8770,8271,7817,7463,8515,9533,9368,7165,6507,5930,7926,6285,6285
144209,City Colleges of Chicago-Harold Washington College,Off-campus in-district(total),14492,14494,14520,14520,19684,19204,18110,18110,18050,17312,13614,13322,12554,12052,11710,11250,11122
144209,City Colleges of Chicago-Harold Washington College,Off-campus in-state(total),20204,19114,19140,19140,23074,22095,21001,20647,21699,22717,19224,16861,15819,14922,16726,14925,14797
144209,City Colleges of Chicago-Harold Washington College,Off-campus with family in-district(total),6524,6526,6816,6816,8320,7840,6910,6910,6850,6112,6638,6538,9002,8628,8382,7986,7922
144209,City Colleges of Chicago-Harold Washington College,Off-campus with family in-state(total),12236,11146,11436,11436,11710,10731,9801,9447,10499,11517,12248,10077,12267,11498,13398,11661,11597
144209,City Colleges of Chicago-Harold Washington College,Off-campus with family out-of-state(total),14564,14926,15216,15216,13141,12268,11338,11151,12031,12999,13685,13671,15590,14604,15971,14055,13991
144218,City Colleges of Chicago-Wilbur Wright College,On-campus in-district(total),5404,5406,5406,5406,5380,5380,4926,4926,4866,4128,3758,3626,3242,3060,2910,2610,2610
144218,City Colleges of Chicago-Wilbur Wright College,On-campus in-state(total),11116,10026,10026,10026,8770,8271,7817,7463,8515,9533,9368,7165,6507,5930,7926,6285,6285
144218,City Colleges of Chicago-Wilbur Wright College,Off-campus in-district(total),14492,14494,14520,14520,19684,19204,18110,18110,18050,17312,13614,13322,12554,12052,11710,11250,11122
144218,City Colleges of Chicago-Wilbur Wright College,Off-campus in-state(total),20204,19114,19140,19140,23074,22095,21001,20647,21699,22717,19224,16861,15819,14922,16726,14925,14797
144218,City Colleges of Chicago-Wilbur Wright College,Off-campus with family in-district(total),6524,6526,6816,6816,8320,7840,6910,6910,6850,6112,6638,6538,9002,8628,8382,7986,7922
144218,City Colleges of Chicago-Wilbur Wright College,Off-campus with family in-state(total),12236,11146,11436,11436,11710,10731,9801,9447,10499,11517,12248,10077,12267,11498,13398,11661,11597
144218,City Colleges of Chicago-Wilbur Wright College,Off-campus with family out-of-state(total),14564,14926,15216,15216,13141,12268,11338,11151,12031,12999,13685,13671,15590,14604,15971,14055,13991
144281,Columbia College Chicago,On-campus in-district(total),45644,43707,43168,41850,41406,40677,38890,38703,38804,38120,37215,35958,34926,33476,32342,29687,29225
144281,Columbia College Chicago,On-campus in-state(total),45644,43707,43168,41850,41406,40677,38890,38703,38804,38120,37215,35958,34926,33476,32342,29687,29225
144281,Columbia College Chicago,Off-campus in-district(total),45644,43707,43168,41850,41406,40677,38890,37364,38804,38120,37215,35576,35292,33912,31508,31126,28536
144281,Columbia College Chicago,Off-campus in-state(total),45644,43707,43168,41850,41406,40677,38890,37364,38804,38120,37215,35576,35292,33912,31508,31126,28536
144281,Columbia College Chicago,Off-campus with family in-district(total),32600,31567,29870,28800,28956,28302,26970,25664,26124,25760,25215,23940,23656,22672,21728,21288,18206
144281,Columbia College Chicago,Off-campus with family in-state(total),32600,31567,29870,28800,28956,28302,26970,25664,26124,25760,25215,23940,23656,22672,21728,21288,18206
144281,Columbia College Chicago,Off-campus with family out-of-state(total),32600,31567,29870,28800,28956,28302,26970,25664,26124,25760,25215,23940,23656,22672,21728,21288,18206
144351,Concordia University-Chicago,On-campus in-district(total),44426,43610,42412,41112,40310,38862,37656,36306,34996,33755,32340,30412,29000,27900,26400,25200,22700
144351,Concordia University-Chicago,On-campus in-state(total),44426,43610,42412,41112,40310,38862,37656,36306,34996,33755,32340,30412,29000,27900,26400,25200,22700
144351,Concordia University-Chicago,Off-campus in-district(total),40828,40312,39390,38270,37468,36348,35226,34206,33146,32205,29490,25920,24900,24100,23000,24400,22600
144351,Concordia University-Chicago,Off-campus in-state(total),40828,40312,39390,38270,37468,36348,35226,34206,33146,32205,29490,25920,24900,24100,23000,24400,22600
144351,Concordia University-Chicago,Off-campus with family in-district(total),34978,34462,33540,32420,31618,30498,29376,28356,27296,26355,24990,23420,22400,21600,20500,19400,17600
144351,Concordia University-Chicago,Off-campus with family in-state(total),34978,34462,33540,32420,31618,30498,29376,28356,27296,26355,24990,23420,22400,21600,20500,19400,17600
144351,Concordia University-Chicago,Off-campus with family out-of-state(total),34978,34462,33540,32420,31618,30498,29376,28356,27296,26355,24990,23420,22400,21600,20500,19400,17600
